sa1_main,x,y,IHAD_quartile,gcc_name_2016
10201102922,151.37768998106188,-33.50143562832232,3,Greater Sydney
10202105420,151.54527495683763,-33.256448339386736,3,Greater Sydney
12003139613,151.07939585577674,-33.86948163509479,4,Greater Sydney
12401145405,150.6068258269127,-33.66314674283307,4,Greater Sydney
11901135820,151.02625282193256,-33.946322671489774,1,Greater Sydney
11903137405,151.1035905704241,-33.97522123411273,1,Greater Sydney
12001138601,151.13673602055275,-33.85332879505261,1,Greater Sydney
12002138922,151.16912251088533,-33.86323881744212,1,Greater Sydney
12502147603,151.04436730126807,-33.788950197676165,1,Greater Sydney
12301143501,150.76447635799516,-34.05257123573148,2,Greater Sydney
12404146734,150.81832219254179,-33.607770168607786,2,Greater Sydney
12702151504,150.94902253343577,-33.87496697515836,3,Greater Sydney
12703159835,150.9071971119665,-33.92024396805662,3,Greater Sydney
11601156105,150.90098752469962,-33.7754549371146,4,Greater Sydney
11703133719,151.2088622525939,-33.8744499924867,3,Greater Sydney
11904137704,151.10505818452887,-33.942520875546435,3,Greater Sydney
12102157811,151.09389481647278,-33.685823022730254,2,Greater Sydney
12003157506,151.09533984759432,-33.87472173009698,3,Greater Sydney
12501147312,151.07670536736765,-33.8347458017687,3,Greater Sydney
11701132236,151.21024467769053,-33.927997276882806,1,Greater Sydney
12703160101,150.93387910671606,-33.91034419837305,1,Greater Sydney
11603131632,150.8007463606212,-33.728689949428855,2,Greater Sydney
12301143559,150.74259429778425,-34.07218647832162,2,Greater Sydney
11501129111,150.9538177279667,-33.75183269341624,3,Greater Sydney
11703133838,151.20303444876419,-33.896639970163505,1,Greater Sydney
12001138456,151.08764921457686,-33.825133532907046,1,Greater Sydney
12202142120,151.29248246987976,-33.66578485817487,1,Greater Sydney
12503148426,150.9867244524434,-33.84886366416885,1,Greater Sydney
12401144903,150.30697706555358,-33.61289197803295,2,Greater Sydney
11703133013,151.19930985173806,-33.905947952590694,3,Greater Sydney
12101140006,151.1544683544945,-33.81357152741082,3,Greater Sydney
12403146316,150.76044667175796,-33.78467830285914,3,Greater Sydney
12503148139,150.99454962317793,-33.84308236750309,2,Greater Sydney
12802153407,151.03403045631012,-34.0005344275658,4,Greater Sydney
12504158903,150.96768603350938,-33.81159291578252,1,Greater Sydney
11504130121,150.8765548007134,-33.64292199458531,4,Greater Sydney
11703133329,151.23100978501418,-33.87237442644259,4,Greater Sydney
12301143314,150.69241050584458,-34.06059961392527,4,Greater Sydney
12203143112,151.27795809597225,-33.71934567364164,1,Greater Sydney
10201102807,151.4351536069087,-33.4753111564895,2,Greater Sydney
11701132314,151.22986195999425,-33.95133054296439,3,Greater Sydney
11602131065,150.9158611908016,-33.705714846572015,4,Greater Sydney
12103140723,151.16273774386246,-33.76162512627119,4,Greater Sydney
12001138401,151.08556668041686,-33.85556775659152,3,Greater Sydney
12101140047,151.18516834481775,-33.83239715298131,4,Greater Sydney
12104141419,151.20231993521912,-33.8352695944371,4,Greater Sydney
11802135017,151.23665898141314,-33.98158124346339,1,Greater Sydney
12002138701,151.1764780011451,-33.86051622318118,1,Greater Sydney
12701150516,150.7033942080556,-33.933354008261084,1,Greater Sydney
