sa1_main,x,y,IHAD_quartile,gcc_name_2016
31003129305,152.7597744325059,-27.65504591210365,2,Greater Brisbane
31104132213,153.12885698077065,-27.744996835567516,4,Greater Brisbane
30102101101,153.25149958550585,-27.643751583946823,2,Greater Brisbane
30501110524,153.03171955201134,-27.462563894862456,3,Greater Brisbane
30101100443,153.19650492080092,-27.53493541878977,1,Greater Brisbane
31302136809,152.97100323941518,-27.119880822277317,1,Greater Brisbane
30301104720,153.0859902062815,-27.499533156918524,3,Greater Brisbane
30301105011,153.09350559650778,-27.50777699229453,4,Greater Brisbane
30503112307,153.01911726773886,-27.417573553787413,2,Greater Brisbane
30504113709,152.97979386792719,-27.486762411851632,2,Greater Brisbane
30401108413,152.94847157767248,-27.55344086857364,4,Greater Brisbane
30403109211,152.97080939909185,-27.51634776335956,3,Greater Brisbane
31305137910,153.11385577087273,-27.234261478320054,1,Greater Brisbane
31102130703,153.2052154080314,-27.701441925485494,1,Greater Brisbane
30303106317,153.084001349444,-27.535695810248615,2,Greater Brisbane
31002128236,152.68118362370325,-27.666508205091837,2,Greater Brisbane
31003129316,152.76385051049837,-27.655365751030228,3,Greater Brisbane
30304106811,153.0216789708283,-27.531740620343243,2,Greater Brisbane
31305137817,153.0964885481632,-27.242825878132685,2,Greater Brisbane
30103101812,153.1372229667954,-27.488405710758833,3,Greater Brisbane
30103102027,153.16669103603297,-27.428207989797965,4,Greater Brisbane
30302105310,153.0573406152352,-27.496318039810316,1,Greater Brisbane
31003128702,152.78733523398824,-27.6114233908448,1,Greater Brisbane
31105132616,153.14932381055814,-27.667512289100262,4,Greater Brisbane
31401138712,152.8798972251533,-27.365426082007172,4,Greater Brisbane
31302136542,152.92633469872288,-27.081443033576196,1,Greater Brisbane
31402138808,153.00067561418314,-27.236363284243275,1,Greater Brisbane
30404109808,152.9856241357302,-27.430255779343998,3,Greater Brisbane
31001127329,152.9592777532067,-27.631957978407936,4,Greater Brisbane
30305107520,153.04260859571676,-27.64575135915715,2,Greater Brisbane
31402138832,152.99908025365002,-27.248232342474026,2,Greater Brisbane
30302105607,153.07104858538676,-27.518156811524673,2,Greater Brisbane
31403139316,152.97079942371485,-27.251916398020104,1,Greater Brisbane
30202103004,153.04867488434985,-27.37982012849726,3,Greater Brisbane
